"	192",柳林,2016-05-20,,,
"	192",柳林,2016-05-21,,,
"	192",柳林,2016-05-22,,,
"	192",柳林,2016-05-23,,,
"	192",柳林,2016-05-24,25.6,10.5,10:33
"	192",柳林,2016-05-25,,,
"	192",柳林,2016-05-26,0,0,
"	192",柳林,2016-05-27,0,0,
"	192",柳林,2016-05-28,0,0,
"	192",柳林,2016-05-29,3.5,3.3,6:30
"	192",柳林,2016-05-30,,,
"	192",柳林,2016-05-31,,,
"	192",柳林,2016-06-01,,,
"	192",柳林,2016-06-02,,,
"	192",柳林,2016-06-03,,,
"	192",柳林,2016-06-04,11.1,3.4,14:21
"	192",柳林,2016-06-05,,,
"	192",柳林,2016-06-06,1,0.7,20:50
"	192",柳林,2016-06-07,0,0,
"	192",柳林,2016-06-08,,,
"	192",柳林,2016-06-09,,,
"	192",柳林,2016-06-10,,,
"	192",柳林,2016-06-11,,,
"	192",柳林,2016-06-12,0.1,0.1,
"	192",柳林,2016-06-13,,,
"	192",柳林,2016-06-14,,,
"	192",柳林,2016-06-15,0,0,
"	192",柳林,2016-06-16,0,0,
"	192",柳林,2016-06-17,,,
"	192",柳林,2016-06-18,6,5.4,22:56
"	192",柳林,2016-06-19,1.2,1.2,0:00
"	192",柳林,2016-06-20,5.2,4.6,11:30
"	192",柳林,2016-06-21,2,0.8,9:58
"	192",柳林,2016-06-22,11.8,3.1,12:14
"	192",柳林,2016-06-23,,,
"	192",柳林,2016-06-24,73.6,35.2,5:35
"	192",柳林,2016-06-25,,,
"	192",柳林,2016-06-26,,,
"	192",柳林,2016-06-27,0.1,0.1,
"	192",柳林,2016-06-28,,,
"	192",柳林,2016-06-29,1.7,1.1,2:32
"	192",柳林,2016-06-30,,,
"	192",柳林,2016-07-01,43.1,14.8,12:26
"	192",柳林,2016-07-02,13.9,6.2,14:28
"	192",柳林,2016-07-03,53.8,13.9,16:14
"	192",柳林,2016-07-04,0.5,0.2,6:52
"	192",柳林,2016-07-05,0.1,0.1,
"	192",柳林,2016-07-06,9.3,9,8:32
"	192",柳林,2016-07-07,,,
"	192",柳林,2016-07-08,,,
"	192",柳林,2016-07-09,,,
"	192",柳林,2016-07-10,,,
"	192",柳林,2016-07-11,2.2,1.7,13:14
"	192",柳林,2016-07-12,4.2,1.8,21:07
"	192",柳林,2016-07-13,,,
"	192",柳林,2016-07-14,,,
"	192",柳林,2016-07-15,0,0,
"	192",柳林,2016-07-16,5.5,2.4,10:08
"	192",柳林,2016-07-17,,,
"	192",柳林,2016-07-18,,,
"	192",柳林,2016-07-19,,,
"	192",柳林,2016-07-20,,,
"	192",柳林,2016-07-21,,,
"	192",柳林,2016-07-22,,,
"	192",柳林,2016-07-23,,,
"	192",柳林,2016-07-24,,,
"	192",柳林,2016-07-25,28.4,28.4,13:01
"	192",柳林,2016-07-26,,,
"	192",柳林,2016-07-27,,,
"	192",柳林,2016-07-28,,,
"	192",柳林,2016-07-29,,,
"	192",柳林,2016-07-30,,,
"	192",柳林,2016-07-31,0,0,
"	192",柳林,2016-08-01,1.6,1.6,13:30
"	192",柳林,2016-08-02,10.2,9.7,17:59
"	192",柳林,2016-08-03,0.5,0.5,19:07
"	192",柳林,2016-08-04,,,
"	192",柳林,2016-08-05,,,
"	192",柳林,2016-08-06,,,
"	192",柳林,2016-08-07,,,
"	192",柳林,2016-08-08,0.4,0.4,17:11
"	192",柳林,2016-08-09,0,0,
"	192",柳林,2016-08-10,,,
"	192",柳林,2016-08-11,,,
"	192",柳林,2016-08-12,,,
"	192",柳林,2016-08-13,,,
"	192",柳林,2016-08-14,,,
"	192",柳林,2016-08-15,11,11,16:04
"	192",柳林,2016-08-16,,,
"	192",柳林,2016-08-17,13.9,13.3,16:06
"	192",柳林,2016-08-18,,,
"	192",柳林,2016-08-19,,,
"	192",柳林,2016-08-20,,,
"	192",柳林,2016-08-21,,,
"	192",柳林,2016-08-22,0.2,0.2,
"	192",柳林,2016-08-23,1.1,1.1,2:00
